iter	Passed	Remaining
210	306	1146
211	307	1144
212	309	1143
213	311	1143
214	312	1142
215	314	1140
216	315	1139
217	317	1137
218	318	1135
219	320	1135
220	321	1133
221	322	1131
222	324	1129
223	325	1128
224	327	1127
225	328	1125
226	330	1124
227	331	1122
228	332	1119
229	333	1118
230	335	1116
231	336	1115
232	338	1112
233	339	1111
234	343	1117
235	344	1115
236	345	1113
237	346	1109
238	347	1107
239	349	1105
240	350	1104
241	352	1103
242	353	1100
243	354	1098
244	355	1096
245	357	1095
246	358	1092
247	359	1090
248	360	1087
249	361	1085
250	363	1084
251	364	1083
252	366	1082
253	367	1080
254	369	1078
255	370	1076
256	371	1074
257	372	1071
258	373	1068
259	374	1065
260	375	1063
261	376	1060
262	378	1059
263	379	1058
264	381	1056
265	382	1054
266	383	1052
267	384	1049
268	385	1047
269	386	1044
270	387	1042
271	388	1039
272	389	1037
273	390	1034
274	391	1032
275	393	1030
276	394	1029
277	395	1028
278	396	1025
279	397	1022
280	398	1020
281	399	1017
282	400	1015
283	401	1012
284	402	1010
285	403	1007
286	404	1005
287	405	1003
288	407	1001
289	408	999
290	409	998
291	411	996
292	412	994
293	413	992
294	414	990
295	415	987
296	416	985
297	417	982
298	417	979
299	418	977
300	420	975
301	421	974
302	422	972
303	424	970
304	425	968
305	426	967
306	427	965
307	428	963
308	429	961
309	431	959
310	432	957
311	433	955
312	434	954
313	436	953
314	439	955
315	441	956
316	443	954
317	444	953
318	445	951
319	446	949
320	448	948
321	450	948
322	452	948
323	453	946
324	455	945
325	456	943
326	459	945
327	461	946
328	463	944
329	464	943
330	466	942
331	468	942
332	470	941
333	471	940
334	473	940
335	475	939
336	476	937
337	477	936
338	479	934
339	480	932
340	482	932
341	484	932
342	486	931
343	487	930
344	489	928
345	490	927
346	491	925
347	492	923
348	494	921
349	496	921
350	497	920
351	499	918
352	501	918
353	502	917
354	504	916
355	505	914
356	506	912
357	508	911
358	509	909
359	511	908
360	512	906
361	513	904
362	514	903
363	516	902
364	517	900
365	519	899
366	521	899
367	523	898
368	524	896
369	525	895
370	527	893
371	528	892
372	529	890
373	531	889
374	532	888
375	534	887
376	535	885
377	537	884
378	538	883
379	540	881
380	541	879
381	542	877
382	543	876
383	545	874
384	546	872
385	547	870
386	549	869
387	550	868
388	552	867
389	553	866
390	555	865
391	556	863
392	558	862
393	559	860
394	560	859
395	562	857
396	563	856
397	564	854
398	565	852
399	566	850
400	567	848
401	568	845
402	569	843
403	570	841
404	571	840
405	573	839
406	575	837
407	576	835
408	577	834
409	578	833
410	580	831
411	581	829
412	582	827
413	583	825
414	584	823
415	587	824
416	588	823
417	590	821
418	591	819
419	592	817
420	593	816
421	594	814
422	596	813
423	597	811
424	598	809
425	599	807
426	601	806
427	602	805
428	604	804
429	605	802
430	606	800
431	607	798
432	608	796
433	609	795
434	610	793
435	611	791
436	612	789
437	613	787
438	614	785
439	616	784
440	617	782
441	618	780
442	619	779
443	620	777
444	621	775
445	622	773
446	623	771
447	624	769
448	625	767
449	626	765
450	627	763
451	627	761
452	628	759
453	630	758
454	631	756
455	632	755
456	633	753
457	634	751
458	635	749
459	636	747
460	637	745
461	638	743
462	639	741
463	640	739
464	641	737
465	642	735
466	643	734
467	644	732
468	646	731
469	647	729
470	648	728
471	649	726
472	650	724
473	651	722
474	651	720
475	652	718
476	653	716
477	654	714
478	655	712
479	656	711
480	657	709
481	658	707
482	660	706
483	661	705
484	663	704
485	664	702
486	666	701
487	667	700
488	668	698
489	669	697
490	670	695
491	674	696
492	675	695
493	676	693
494	677	691
495	678	689
496	679	687
497	680	686
498	681	684
499	682	682
500	683	680
501	684	679
502	685	677
503	686	675
504	687	673
505	688	672
506	689	670
507	690	669
508	692	667
509	693	665
510	693	664
511	694	662
512	695	660
513	696	658
514	697	657
515	698	655
516	699	653
517	701	652
518	702	651
519	703	649
520	704	647
521	705	646
522	706	644
523	707	642
524	708	640
525	709	639
526	710	637
527	711	636
528	712	634
529	713	632
530	714	631
531	715	629
532	717	628
533	718	626
534	719	625
535	720	623
536	721	621
537	722	620
538	723	618
539	724	616
540	724	615
541	725	613
542	727	612
543	728	610
544	729	608
545	730	607
546	731	605
547	732	604
548	733	602
549	735	601
550	736	599
551	736	598
552	738	596
553	738	594
554	740	593
555	741	591
556	742	590
557	743	588
558	744	587
559	745	585
560	747	584
561	748	583
562	749	581
563	750	580
564	752	579
565	753	577
566	755	576
567	756	575
568	757	573
569	758	572
570	759	570
571	761	569
572	762	568
573	763	566
574	765	565
575	766	564
576	767	562
577	769	561
578	770	560
579	771	558
580	772	557
581	774	556
582	776	555
583	777	554
584	778	552
585	780	551
586	781	550
587	783	548
588	784	547
589	785	545
590	786	544
591	787	542
592	789	541
593	790	540
594	791	538
595	792	537
596	794	536
597	795	535
598	797	533
599	798	532
600	799	530
601	800	529
602	803	528
603	806	528
604	808	527
605	809	526
606	811	525
607	812	524
608	814	522
609	815	521
610	817	520
611	821	520
612	822	519
613	824	518
614	825	516
615	826	515
616	827	513
617	829	512
618	830	511
619	832	510
620	834	509
621	835	507
622	836	506
623	837	504
624	838	503
625	840	501
626	841	500
627	843	499
628	846	499
629	848	498
630	850	497
631	852	496
632	853	494
633	855	493
634	856	492
635	857	490
636	861	490
637	862	489
638	865	488
639	866	487
640	868	486
641	869	485
642	871	483
643	873	482
644	875	481
645	876	480
646	878	479
647	880	478
648	882	477
649	883	475
650	884	474
651	886	472
652	887	471
653	902	477
654	903	475
655	904	474
656	906	473
657	907	471
658	908	470
659	909	468
660	911	467
661	912	465
662	913	464
663	914	462
664	915	461
665	916	459
666	918	458
667	919	457
668	921	455
669	922	454
670	923	452
671	925	451
672	926	450
673	927	448
674	928	447
675	929	445
676	930	444
677	931	442
678	934	441
679	936	440
680	937	439
681	939	437
682	940	436
683	941	434
684	942	433
685	943	432
686	944	430
687	945	428
688	947	427
689	948	426
690	950	425
691	952	423
692	953	422
693	956	421
694	957	420
695	959	418
696	960	417
697	962	416
698	965	415
699	966	414
700	968	413
701	969	411
702	971	410
703	972	408
704	973	407
705	974	405
706	975	404
707	977	403
708	979	401
709	980	400
710	981	399
711	982	397
712	983	396
713	985	394
714	986	393
715	987	391
716	988	390
717	989	388
718	990	387
719	991	385
720	993	384
721	994	382
722	995	381
723	997	380
724	998	378
725	999	377
726	1000	375
727	1001	374
728	1002	372
729	1004	371
730	1005	370
731	1007	368
732	1008	367
733	1009	365
734	1010	364
735	1012	363
736	1013	361
737	1014	360
738	1015	358
739	1016	357
740	1017	355
741	1018	354
742	1019	352
743	1021	351
744	1021	349
745	1023	348
746	1025	347
747	1026	345
748	1028	344
749	1029	343
750	1031	341
751	1032	340
752	1034	339
753	1036	338
754	1037	336
755	1038	335
756	1039	333
757	1040	332
758	1041	330
759	1042	329
760	1043	327
761	1044	326
762	1045	324
763	1046	323
764	1047	321
765	1049	320
766	1050	319
767	1051	317
768	1053	316
769	1054	314
770	1055	313
771	1056	311
772	1057	310
773	1058	309
774	1059	307
775	1061	306
776	1063	305
777	1064	303
778	1065	302
779	1067	300
780	1068	299
781	1069	298
782	1070	296
783	1070	295
784	1071	293
785	1072	292
786	1073	290
787	1074	289
788	1075	287
789	1076	286
790	1078	284
791	1079	283
792	1080	282
793	1081	280
794	1082	279
795	1083	277
796	1084	276
797	1085	274
798	1086	273
799	1086	271
800	1087	270
801	1088	268
802	1089	267
803	1091	266
804	1092	264
805	1093	263
806	1094	261
807	1095	260
808	1096	258
809	1097	257
810	1098	255
811	1099	254
812	1100	253
813	1101	251
814	1102	250
815	1103	248
816	1103	247
817	1105	246
818	1107	244
819	1109	243
820	1110	242
821	1111	240
822	1112	239
823	1113	237
824	1114	236
825	1115	234
826	1116	233
827	1117	232
828	1117	230
829	1119	229
830	1120	227
831	1122	226
832	1123	225
833	1124	223
834	1125	222
835	1126	221
836	1127	219
837	1128	218
838	1129	216
839	1130	215
840	1131	213
841	1132	212
842	1133	211
843	1135	209
844	1136	208
845	1137	207
846	1138	205
847	1139	204
848	1140	202
849	1141	201
850	1142	199
851	1143	198
852	1144	197
853	1145	195
854	1146	194
855	1147	193
856	1148	191
857	1150	190
858	1151	188
859	1152	187
860	1152	186
861	1153	184
862	1154	183
863	1155	181
864	1156	180
865	1157	179
866	1158	177
867	1159	176
868	1161	175
869	1162	173
870	1163	172
871	1164	170
872	1165	169
873	1166	168
874	1167	166
875	1168	165
876	1169	164
877	1170	162
878	1171	161
879	1172	159
880	1173	158
881	1174	157
882	1175	155
883	1176	154
884	1178	153
885	1179	151
886	1180	150
887	1180	148
888	1181	147
889	1182	146
890	1183	144
891	1184	143
892	1185	142
893	1186	140
894	1187	139
895	1188	137
896	1189	136
897	1190	135
898	1191	133
899	1193	132
900	1194	131
901	1195	129
902	1196	128
903	1197	127
904	1198	125
905	1199	124
906	1200	123
907	1201	121
908	1202	120
909	1203	118
910	1204	117
911	1204	116
912	1205	114
913	1207	113
914	1208	112
915	1209	110
916	1210	109
917	1211	108
918	1213	106
919	1214	105
920	1214	104
921	1215	102
922	1216	101
923	1217	100
924	1218	98
925	1219	97
926	1220	96
927	1221	94
928	1223	93
929	1224	92
930	1225	90
931	1227	89
932	1228	88
933	1229	86
934	1230	85
935	1231	84
936	1232	82
937	1233	81
938	1234	80
939	1235	78
940	1237	77
941	1238	76
942	1239	74
943	1241	73
944	1242	72
945	1243	70
946	1243	69
947	1244	68
948	1245	66
949	1246	65
950	1247	64
951	1248	62
952	1249	61
953	1251	60
954	1252	59
955	1253	57
956	1254	56
957	1255	55
958	1256	53
959	1257	52
960	1258	51
961	1259	49
962	1260	48
963	1261	47
964	1261	45
965	1262	44
966	1263	43
967	1265	41
968	1266	40
969	1267	39
970	1268	37
971	1269	36
972	1270	35
973	1271	33
974	1272	32
975	1273	31
976	1274	29
977	1274	28
978	1275	27
979	1276	26
980	1277	24
981	1279	23
982	1280	22
983	1281	20
984	1282	19
985	1283	18
986	1284	16
987	1285	15
988	1286	14
989	1287	13
990	1288	11
991	1289	10
992	1290	9
993	1291	7
994	1292	6
995	1293	5
996	1295	3
997	1296	2
998	1297	1
999	1298	0
